Date,Open,High,Low,Close ,Adj Close ,Volume
13-Jun-25,267,276.2,263.6,272.6,272.6,"16,512,370"
12-Jun-25,273.8,283.4,266.6,266.8,266.8,"26,362,272"
11-Jun-25,261.6,269.8,250.2,269.8,269.8,"18,342,406"
10-Jun-25,253,262,250.6,258.8,258.8,"14,824,005"
9-Jun-25,251.2,253,242,250.8,250.8,"12,279,461"
6-Jun-25,243.2,248.6,239.4,244.8,244.8,"9,719,916"
5-Jun-25,249,252.6,238,243,243,"17,985,477"
4-Jun-25,234,248.8,234,246,246,"14,472,197"
3-Jun-25,231,235.6,225.2,234,234,"12,361,361"
2-Jun-25,223.6,233,222.2,230,230,"6,491,406"
30-May-25,225,228.4,218,220.4,220.4,"12,985,112"
29-May-25,0.89003193 Dividend,,,,,
29-May-25,218,226,218,225,225,"10,875,128"
28-May-25,235,235,216,216.6,215.785,"20,317,510"
27-May-25,220,235,219,233.2,232.323,"12,298,022"
26-May-25,223,229,219.8,221.2,220.368,"8,007,827"
23-May-25,218.8,221.6,216,219.8,218.973,"8,338,795"
22-May-25,217.4,229,214,223.2,222.361,"13,592,330"
21-May-25,211,220,211,216,215.188,"13,326,929"
20-May-25,207.2,212.2,205.6,208.2,207.417,"8,767,010"
19-May-25,190.5,207.8,190.5,207,206.221,"11,866,362"
16-May-25,195.2,198.5,192.5,195.7,194.964,"5,102,668"
15-May-25,194.5,200.8,192.9,196.8,196.06,"9,904,969"
14-May-25,194.4,196,190,193.7,192.972,"6,144,660"
13-May-25,186.8,194,185.2,192.8,192.075,"9,061,474"
12-May-25,192.4,195.5,182.5,187,186.297,"11,857,413"
9-May-25,181.3,192,179.4,191.1,190.381,"12,947,957"
8-May-25,183.3,188,176.8,179,178.327,"20,413,468"
7-May-25,194.5,195.8,182.9,184.5,183.806,"21,687,759"
6-May-25,198,198.6,188.2,195.1,194.366,"10,185,622"
2-May-25,191.1,198,188.8,197.7,196.956,"5,299,476"
30-Apr-25,197.9,199,190.4,193.8,193.071,"15,991,355"
29-Apr-25,196,198.2,191.3,197.9,197.156,"10,736,105"
28-Apr-25,175.5,195,175.5,193,192.274,"23,282,398"
25-Apr-25,182.5,184.4,169.6,172.3,171.652,"15,703,336"
24-Apr-25,179.7,185.7,176.5,180.1,179.423,"10,399,305"
23-Apr-25,184,188,171.6,178.5,177.829,"21,735,485"
22-Apr-25,164.5,176.4,164.2,175.9,175.238,"13,705,340"
17-Apr-25,156.7,167.7,156.7,164.5,163.881,"11,878,930"
16-Apr-25,163,163.2,152.9,159.2,158.601,"14,419,219"
15-Apr-25,162.5,165.6,160.3,164.7,164.081,"9,348,051"
14-Apr-25,153.7,161.8,152,159.1,158.502,"14,633,023"
11-Apr-25,142.2,152.8,141.1,149.5,148.938,"13,524,621"
10-Apr-25,148,149.3,141.6,143.8,143.259,"15,245,032"
9-Apr-25,126,139.8,118.8,137.6,137.083,"31,122,330"
8-Apr-25,132,140.8,127,133.1,132.599,"25,838,478"
7-Apr-25,138.5,145.6,123.4,126.9,126.423,"48,909,644"
3-Apr-25,158.8,166.2,156.7,162.6,161.988,"12,107,545"
2-Apr-25,162.5,167.4,160.5,163.2,162.586,"9,083,367"
1-Apr-25,156.5,166.8,156.5,164.3,163.682,"17,272,895"
31-Mar-25,150,158.5,149.6,156.5,155.911,"15,537,913"
28-Mar-25,153.5,154.7,147.8,153.2,152.624,"11,878,345"
27-Mar-25,149,160,144.1,153.7,153.122,"30,680,300"
26-Mar-25,129,147,127.5,140.7,140.171,"37,108,584"
25-Mar-25,133.5,134.5,124.4,126.9,126.423,"14,201,598"
24-Mar-25,134.4,138,130.3,135.1,134.592,"7,738,737"
21-Mar-25,134,139.8,131.4,134.3,133.795,"12,815,605"
20-Mar-25,136.6,138,132.5,134,133.496,"7,546,806"
19-Mar-25,132.8,137.8,131.7,136.3,135.787,"8,693,903"
18-Mar-25,133.5,135.2,130.4,133.8,133.297,"8,191,660"
17-Mar-25,126.4,132.5,125.8,131.3,130.806,"13,637,359"
14-Mar-25,118.9,125,117.2,123.1,122.637,"8,742,060"
13-Mar-25,118.1,122.8,116,118.9,118.453,"8,523,220"
12-Mar-25,121.2,123.1,114.9,116.7,116.261,"10,566,910"
11-Mar-25,108.6,120.7,107,119.6,119.15,"14,123,744"
10-Mar-25,115.6,116.4,110.4,112.1,111.678,"5,920,468"
7-Mar-25,116.2,120,114.1,116.4,115.962,"6,115,769"
6-Mar-25,117.1,121,115.5,116.2,115.763,"6,756,024"
5-Mar-25,109.1,117,109,116.1,115.663,"10,523,561"
4-Mar-25,106.7,109.8,105.4,108.7,108.291,"3,904,296"
3-Mar-25,104.2,110.9,103.9,109.8,109.387,"6,400,488"
28-Feb-25,107.9,110,102.1,104.2,103.808,"7,984,572"
27-Feb-25,110.6,111.3,104.2,107.4,106.996,"6,488,760"
26-Feb-25,111,112.5,109.1,110.4,109.985,"4,185,284"
25-Feb-25,105.2,112.5,105.2,109.1,108.69,"6,616,441"
24-Feb-25,106.5,110.1,101.6,109.7,109.287,"8,930,394"
21-Feb-25,108,108.3,103.2,108.1,107.693,"9,195,766"
20-Feb-25,109.9,111.6,104.1,104.6,104.207,"7,852,545"
19-Feb-25,110.9,111.7,108.3,111.2,110.782,"4,748,113"
18-Feb-25,108.9,114.5,108.9,112.5,112.077,"7,259,090"
17-Feb-25,110.8,112.4,107.2,108.6,108.192,"6,696,579"
14-Feb-25,105.8,112.8,104.9,110.8,110.383,"12,369,228"
13-Feb-25,104.5,107,102.9,103.3,102.912,"6,438,925"
12-Feb-25,105.5,107.6,102.5,104.3,103.908,"6,060,827"
11-Feb-25,104.8,107,103.3,104.7,104.306,"6,049,241"
10-Feb-25,102.5,104.5,100,102.3,101.915,"7,065,465"
7-Feb-25,99.8,103.4,98.75,101.1,100.72,"4,826,664"
6-Feb-25,101.5,102.8,98.7,99.2,98.827,"6,466,595"
5-Feb-25,100.2,102.9,99.05,101.3,100.919,"8,359,542"
4-Feb-25,92.05,103.2,92.05,103.2,102.812,"8,150,727"
3-Feb-25,93.15,95.1,91,92.65,92.302,"3,824,302"
28-Jan-25,93.9,93.9,93.9,93.9,93.547,-
27-Jan-25,91.5,94.45,91.5,93.7,93.348,"3,572,269"
24-Jan-25,88.7,92.7,88.6,91.5,91.156,"4,772,863"
23-Jan-25,94,94.6,88.35,88.7,88.366,"6,234,820"
22-Jan-25,92.55,95.25,91.8,93.8,93.447,"5,385,226"
21-Jan-25,88.6,93.25,87.6,92.55,92.202,"8,030,853"
20-Jan-25,87.9,89.6,86.75,88,87.669,"5,076,088"
17-Jan-25,85.15,88.2,84.2,87.6,87.271,"6,501,004"
16-Jan-25,82.05,85.8,79.5,85.15,84.83,"14,628,624"
15-Jan-25,83.2,83.8,80.65,81.8,81.492,"5,541,590"
14-Jan-25,84,84.4,81.3,83.8,83.485,"7,968,358"
13-Jan-25,83.4,87,83.1,84.4,84.083,"4,584,094"
10-Jan-25,87,87,83.2,85.3,84.979,"6,852,051"
9-Jan-25,85.55,87.75,84.3,87,86.673,"6,284,868"
8-Jan-25,87.5,87.7,83.9,84.55,84.232,"7,835,354"
7-Jan-25,88.5,90.55,85.8,87.9,87.569,"8,384,171"
6-Jan-25,94.3,94.9,88.1,88.45,88.117,"8,243,227"
3-Jan-25,91.3,96,91.05,94.2,93.846,"7,853,825"
2-Jan-25,89.8,92.8,89.25,91.15,90.807,"7,304,406"
31-Dec-24,90,90,90,90,89.662,-
30-Dec-24,86.6,88.35,83.6,86.1,85.776,"6,717,275"
27-Dec-24,86.9,86.9,82.35,86,85.677,"9,817,991"
24-Dec-24,86.5,86.5,86.5,86.5,86.175,-
23-Dec-24,95,95,87.5,88.9,88.566,"11,724,972"
20-Dec-24,94.75,96.45,93.95,94.35,93.995,"4,611,855"
19-Dec-24,93.2,96.2,93,94.75,94.394,"3,662,421"
18-Dec-24,95,95.2,93.15,94.7,94.344,"3,240,260"
17-Dec-24,94.3,96.9,94,94.2,93.846,"4,706,851"
16-Dec-24,92.5,96.35,92.5,95.25,94.892,"6,251,635"
13-Dec-24,93.6,95,92.5,92.95,92.6,"3,588,777"
12-Dec-24,91.7,94.2,91.7,93.6,93.248,"6,062,628"
11-Dec-24,92.7,93.7,90,92.1,91.754,"5,067,145"
10-Dec-24,95.6,95.7,90.5,92.8,92.451,"6,786,679"
9-Dec-24,93.35,94.6,92.1,94.25,93.896,"5,911,980"
6-Dec-24,89.7,93.8,87.6,93.25,92.899,"7,128,381"
5-Dec-24,91.55,91.55,89,89.7,89.363,"6,571,672"
4-Dec-24,92.45,92.9,89.15,90.45,90.11,"6,962,018"
3-Dec-24,92,93.8,91.5,92.45,92.102,"6,234,556"
2-Dec-24,89.95,95,89.25,92.35,92.003,"7,345,798"
29-Nov-24,89.3,91.65,87.85,89.85,89.512,"6,356,678"
28-Nov-24,92,92.2,87.1,89.3,88.964,"6,081,934"
27-Nov-24,86.95,90.3,86.2,89.25,88.914,"8,295,955"
26-Nov-24,85.85,88,84,86.55,86.225,"9,552,629"
25-Nov-24,84,88.65,84,87.7,87.37,"13,806,476"
22-Nov-24,80.7,86.9,80.5,83.45,83.136,"16,526,197"
21-Nov-24,76.7,80.75,76.1,80.25,79.948,"11,840,895"
20-Nov-24,75.4,78.1,75.4,76.7,76.412,"4,629,469"
19-Nov-24,74.15,76.8,73.75,76.3,76.013,"4,569,180"
18-Nov-24,76.4,76.4,73.05,74.75,74.469,"5,745,330"
15-Nov-24,71.6,77,71.5,75.15,74.867,"12,372,454"
14-Nov-24,70.55,72.45,69.95,71.55,71.281,"5,696,962"
13-Nov-24,70.05,72.15,69.5,71.8,71.53,"4,477,744"
12-Nov-24,74,74.85,70.35,70.85,70.584,"9,147,511"
11-Nov-24,72.65,74.5,71,74.45,74.17,"6,717,635"
8-Nov-24,70.5,73.5,70.05,72.65,72.377,"9,168,046"
7-Nov-24,70,70.35,67.5,69.5,69.239,"6,389,784"
6-Nov-24,70.35,71.3,68.45,70.05,69.787,"6,304,486"
5-Nov-24,72.15,72.35,68.05,70.55,70.285,"12,573,701"
4-Nov-24,71.5,73.2,70.8,72.65,72.377,"4,443,675"
1-Nov-24,70,72,69.7,71.5,71.231,"6,056,623"
31-Oct-24,72.15,72.2,70.15,70.5,70.235,"9,061,927"
30-Oct-24,72,74.7,70.9,71.7,71.43,"7,088,846"
